date,station_id,AWND,TAVG,TMAX,TMIN,WESF
20200105,US1NYCN0009,,,,,10
20200105,US1NYCQ0035,,,,,20
20200105,US1NYCQ0039,,,,,30
20200105,US1NYCR0005,,,,,8
20200105,US1NYCY0002,,,,,3
20200105,US1NYDT0010,,,,,0
20200105,US1NYDT0012,,,,,0
20200105,US1NYDT0024,,,,,0
20200105,US1NYER0059,,,,,69
20200105,US1NYER0077,,,,,25
20200105,US1NYER0138,,,,,18
20200105,US1NYER0166,,,,,30
20200105,US1NYES0006,,,,,119
20200105,US1NYES0007,,,,,38
20200105,US1NYFK0007,,,,,46
20200105,US1NYFK0009,,,,,46
20200105,US1NYJF0032,,,,,5
20200105,US1NYMR0015,,,,,0
20200105,US1NYNG0027,,,,,0
20200105,US1NYNG0030,,,,,15
20200105,US1NYNS0034,,,,,0
20200105,US1NYOD0043,,,,,0
20200105,US1NYOG0046,,,,,15
20200105,US1NYOG0071,,,,,18
20200105,US1NYON0017,,,,,25
20200105,US1NYRN0013,,,,,28
20200105,US1NYRN0015,,,,,74
20200105,US1NYRN0020,,,,,25
20200105,US1NYRN0024,,,,,0
20200105,US1NYSC0017,,,,,0
20200105,US1NYSC0027,,,,,0
20200105,US1NYSF0016,,,,,0
20200105,US1NYSF0103,,,,,0
20200105,US1NYSF0114,,,,,0
20200105,US1NYSF0127,,,,,0
20200105,US1NYSL0006,,,,,46
20200105,US1NYSY0014,,,,,3
20200105,US1NYTM0015,,,,,53
20200105,US1NYTM0042,,,,,79
